"road_surface","road_condition_1","road_condition_2","lighting","count","execution time"
"dry","normal",NULL,"daylight",410273,"1 secs 851 msec"
"dry","normal",NULL,"dark with street lights",133325
"dry","normal",NULL,"dark with no street lights",54483
"wet","normal",NULL,"daylight",31840
"dry","normal",NULL,"dusk or dawn",23070
"wet","normal",NULL,"dark with street lights",17512
"wet","normal",NULL,"dark with no street lights",8945
"dry","construction",NULL,"daylight",6335
"wet","normal",NULL,"dusk or dawn",2782
NULL,"normal",NULL,"daylight",1807
"dry","construction",NULL,"dark with street lights",1713
"dry","construction","reduced width","daylight",1655
"dry","construction",NULL,"dark with no street lights",1586
"dry",NULL,NULL,"daylight",1435
NULL,"normal",NULL,"dark with street lights",1304
"snowy","normal",NULL,"daylight",1296
"dry","normal",NULL,NULL,1134
"dry","normal",NULL,"dark with street lights not functioning",1084
"dry","obstruction",NULL,"daylight",1073
"dry","holes",NULL,"daylight",834
"dry","other",NULL,"daylight",791
"dry",NULL,NULL,"dark with street lights",730
NULL,NULL,NULL,NULL,653
"dry","construction","reduced width","dark with street lights",621
"dry","construction","normal","daylight",612
"snowy","normal",NULL,"dark with no street lights",549
"dry","loose material",NULL,"daylight",468
"dry","obstruction",NULL,"dark with no street lights",467
"dry","construction","reduced width","dark with no street lights",386
"dry","reduced width",NULL,"daylight",381
"dry","obstruction",NULL,"dark with street lights",354
"wet","construction",NULL,"daylight",285
"dry","other",NULL,"dark with street lights",269
"dry","construction",NULL,"dusk or dawn",268
"wet","flooded",NULL,"daylight",258
"wet",NULL,NULL,"dark with street lights",196
"dry","holes",NULL,"dark with street lights",188
"snowy","normal",NULL,"dark with street lights",179
"wet",NULL,NULL,"daylight",175
"wet","other",NULL,"daylight",175
NULL,"normal",NULL,NULL,174
"wet","normal",NULL,"dark with street lights not functioning",164
"slippery","normal",NULL,"daylight",156
"wet","normal",NULL,NULL,152
NULL,"holes","normal","daylight",145
"dry","holes","normal","daylight",144
"wet","construction","reduced width","daylight",137
"wet","flooded",NULL,"dark with street lights",136
"dry","other",NULL,"dark with no street lights",134
"wet","other",NULL,"dark with street lights",133
"wet","flooded",NULL,"dark with no street lights",131
"snowy","other",NULL,"daylight",129
