"title","year","mid","rating","num_ratings",Execution Time
"10,000 BC",2008,58293,"3",91145,136 msec
"100 Girls",2000,7541,"0",0
"100 Rifles",1969,59834,"3.3",243
"101 Reykjavík",2000,6344,"3.6",2003
"102 Dalmatians",2000,3991,"2.9",17460
"10.5",2004,2535,"0",0
"10 Items or Less",2006,49284,"3.3",11471
"10 Rillington Place",1971,8017,"3.9",564
"10 Things I Hate About You",1999,2572,"3.3",207830
"10th & Wolf",2006,55391,"3.1",9910
"10 to Midnight",1983,6168,"0",0
"11'09''01 - September 11",2002,7789,"3.5",303
"11:14",2003,27674,"3.6",6342
"1-2-3-4 ou Les Collants noirs",1960,3583,"0",0
"12 Angry Men",1957,1203,"4.1",22784
"13 Going on 30",2004,7444,"3.3",96034
"13 Rue Madeleine",1947,6437,"0",0
"13 Tzameti",2005,48872,"3.9",3433
"1408",2007,53953,"3.4",349462
"1492: Conquest of Paradise",1992,8905,"3",3372
"15 Minutes",2001,4167,NULL,NULL
"16 Blocks",2006,43936,"3.2",31478
"1732 Høtten",1998,4311,"5",5
"1776",1972,5472,"3.8",2415
"17 sui de tian kong",2004,5043,"3.6",656
"18 Again!",1988,4462,"2.8",1550
"1941",1979,7104,"3",5333
"20000 Leagues Under the Sea",1954,1019,"3.2",7628
"2001: A Space Odyssey",1968,924,"3.7",46687
"2001 Maniacs",2005,51498,NULL,NULL
"200 Cigarettes",1999,2504,"3",5146
"2010",1984,2311,"3.2",5956
"2046",2004,27266,"3.9",14211
"20 Dates",1998,2492,"0",0
"20 Million Miles to Earth",1957,5468,"0",0
"21",1977,52767,"0",0
"21",2008,58803,"3.7",112101
"21 Grams",2003,6953,"3.6",38037
"24 7: Twenty Four Seven",1997,2444,"3.9",451
"24 Hour Party People",2002,5004,"0",0
"25th Hour",2002,5954,"3.7",25056
"27 Dresses",2008,56949,"3.6",168630
"28 Days Later...",2002,6502,"3.6",107149
"28 Up",1985,7566,"4.2",565
"28 Weeks Later",2007,53000,"3.4",266576
"29th Street",1991,8120,"3.3",877
"2 Days in Paris",2007,559,"3.6",27100
"2 Days in the Valley",1996,999,"3",3984
"2 Fast 2 Furious",2003,6383,"3.1",176485
"2 ou 3 choses que je sais d'elle",1967,1164,"3.8",1050
"300",2006,51662,"4.1",476879
"3000 Miles to Graceland",2001,4159,"2.9",8755
"301, 302",1995,652,"3.7",163
"30 Days of Night",2007,55282,"3.3",146766
"3:10 to Yuma",2007,54997,"3.9",139372
"3-4 x jûgatsu",1990,3165,"3.5",702
"36 fillette",1988,7837,"3",414
"36 Hours",1965,26110,"0",0
"36 Quai des Orfèvres",2004,47634,"0",0
"37°2 le matin",1986,7042,"4.1",3961
"3 Bad Men",1926,57484,"0",0
"3 Men and a Baby",1987,5308,"2.9",11309
"3 Men and a Little Lady",1990,5309,"2.8",6348
"3 Ninjas",1992,4748,"0",0
"3 Ninjas: High Noon at Mega Mountain",1998,1739,"2.5",7721
"3 Ninjas Kick Back",1994,4749,"2.6",6654
"3 Ninjas Knuckle Up",1995,4750,"0",0
"3 Strikes",2000,3322,"3.1",1088
"3 Women",1977,8261,"3.9",1570
"40 Days and 40 Nights",2002,5151,"3.1",33188
"42: Forty Two Up",1998,3077,"4",803
"42nd Street",1933,7080,"3.5",1572
"48 Hrs.",1982,5049,"3.2",10471
"49th Parallel",1941,42681,"0",0
"49 Up",2005,50658,"3.2",6671
"4 for Texas",1963,5057,"0",0
"4 Little Girls",1997,4217,"3.8",1088
"4 luni, 3 saptamâni si 2 zile",2007,55069,"4",12151
"4: Rise of the Silver Surfer",2007,53464,"3.2",470350
"50 First Dates",2004,7293,"3.4",217959
"52 Pick-Up",1986,2475,"3.1",248
"54",1998,2188,"2.8",4129
"5 Card Stud",1968,5429,"3.3",527
"5x2",2004,31956,"3.6",1684
"633 Squadron",1964,6438,"0",0
"7 Faces of Dr. Lao",1964,42556,"0",0
"800 balas",2002,32392,"3.2",1505
"8½",1963,1251,"4.3",12375
"8 ½ Women",1999,3626,"3.1",1362
"84 Charing Cross Road",1987,5404,"3.7",1344
"88 Minutes",2007,53207,"3.2",37899
"8 femmes",2002,5613,"3.6",5397
"8 Heads in a Duffel Bag",1997,1503,"2.6",2533
"8 Mile",2002,5810,"3.1",199023
"8MM",1999,2505,"3",14973
"8 Seconds",1994,408,"3.6",7861
"976-Evil II",1992,5546,"0",0
"99 francs",2007,59026,"0",0
"9 Dead Gay Guys",2002,6866,"3.4",768
"9 Songs",2004,33585,"2.7",3152
"Abandon",2002,51666,"2.7",2670
"Abbott and Costello Meet Dr. Jekyll and Mr. Hyde",1953,25977,"0",0
"Abbott and Costello Meet the Invisible Man",1951,31156,"0",0
"Abbott and Costello Meet the Killer, Boris Karloff",1949,31160,"0",0
"Abbott and Costello Meet the Mummy",1955,4767,"0",0
"A Beautiful Mind",2001,3912,"3.9",103150
"Aberdeen",2000,4729,"3.7",511
"About a Boy",2002,5377,"2.8",137687
"About Adam",2000,3862,"3",2040
"À bout de souffle",1960,4914,"4.2",10327
"About Schmidt",2002,5945,"3.1",14978
"Above the Law",1988,4466,"2.8",5280
